muestra,t,M 5A,DUT 30A,
2,571,65.406,135.461,
3,1102,67.653,152.904,
4,1630,66.303,222.732,
5,2161,66.601,217.741,
6,2689,69.518,243.758,
7,3228,70.244,470.227,
8,3765,73.924,474.862,
9,4298,68.970,554.034,
10,4826,69.956,589.171,
11,5356,69.862,611.484,
12,5884,66.967,561.525,
13,6415,65.620,342.911,
14,6943,67.512,330.685,
15,7473,67.924,322.308,
16,8002,68.348,345.228,
17,8531,65.609,336.978,
18,9059,70.598,341.900,
19,9590,71.000,350.156,
20,10117,69.503,354.012,
21,10645,69.813,354.241,
22,11172,70.704,347.932,
23,11703,71.109,360.536,
24,12231,71.699,337.055,
25,12761,65.224,361.839,
26,13290,70.326,330.238,
27,13820,64.189,160.827,
28,14349,66.014,138.112,
29,14880,67.848,138.007,
30,15408,68.733,141.244,
31,15939,67.913,138.313,
muestra,t,M 5A,DUT 30A,
2,533,67.377,141.011,
3,1062,67.785,151.171,
4,1628,69.446,233.551,
5,2156,65.071,231.457,
6,2687,66.936,251.709,
7,3216,66.506,468.865,
8,3746,64.335,494.602,
9,4274,63.539,556.778,
10,4808,66.774,599.320,
11,5339,66.832,644.273,
12,5868,63.877,465.598,
13,6398,65.534,342.431,
14,6928,64.789,343.269,
15,7457,66.137,328.638,
16,7985,67.043,348.185,
17,8514,64.232,353.549,
18,9044,65.470,347.286,
19,9574,65.967,353.826,
20,10102,66.037,352.292,
21,10632,64.086,352.788,
22,11161,65.364,351.115,
23,11691,65.752,362.468,
24,12221,65.602,357.979,
25,12750,67.002,343.165,
26,13279,64.938,337.761,
27,13808,65.810,189.333,
28,14337,64.899,141.131,
29,14872,64.020,141.545,
30,15401,64.710,144.210,
31,15932,67.159,136.442,
muestra,t,M 5A,DUT 30A,
2,534,63.690,139.759,
3,1061,63.466,148.297,
4,1593,67.900,226.335,
5,2121,66.503,225.620,
6,2652,67.116,226.406,
7,3180,67.848,481.901,
8,3711,67.075,478.948,
